Refractive Index,Na,Mg,Al,Si,K,Ca,Ba,Fe,Class
h,g,f,e,b,e,h,a,g,1.0
i,f,a,f,c,d,j,d,g,5.0
j,a,b,a,i,a,j,d,g,2.0
g,e,d,d,f,e,h,a,g,1.0
g,f,d,c,f,e,h,a,g,1.0
h,b,c,i,e,h,j,d,g,5.0
j,a,b,a,b,b,j,d,g,2.0
a,h,a,j,i,c,h,j,g,7.0
j,f,h,a,b,c,j,c,g,1.0
a,i,a,j,j,c,h,j,g,7.0
e,a,e,f,j,h,e,b,h,1.0
e,d,g,h,e,e,d,h,h,1.0
i,g,j,b,b,c,i,d,h,1.0
d,j,b,i,j,a,e,j,h,7.0
d,j,b,j,h,a,e,j,h,7.0
j,j,b,b,e,c,j,d,h,2.0
f,e,d,e,g,e,h,a,h,1.0
c,a,f,i,i,i,b,g,h,2.0
b,j,b,j,i,a,f,j,h,7.0
f,g,d,h,b,g,g,a,h,3.0
b,i,a,j,j,b,h,i,h,7.0
b,d,f,g,f,j,b,f,h,2.0
d,e,g,f,e,f,d,h,h,3.0
g,e,j,f,c,e,c,f,h,2.0
j,h,a,f,a,d,j,d,h,2.0
c,f,f,g,d,i,b,g,h,2.0
j,i,i,a,a,b,i,e,h,1.0
h,e,d,d,c,h,h,b,h,1.0
i,g,j,b,b,d,i,d,h,1.0
e,d,h,e,g,f,d,i,h,1.0
e,f,i,c,f,f,c,f,h,1.0
a,j,i,i,b,c,a,g,i,2.0
h,c,i,g,d,g,e,b,i,2.0
f,d,j,b,h,f,d,h,i,2.0
f,a,g,e,h,h,f,b,i,1.0
h,g,j,d,d,g,c,e,i,2.0
b,h,f,d,f,d,a,f,i,2.0
g,d,i,b,c,i,h,a,i,2.0
f,h,j,g,b,e,c,e,i,2.0
h,e,e,c,e,g,g,a,i,1.0
i,d,h,b,c,d,i,e,i,1.0
j,h,i,a,a,c,i,d,i,1.0
i,d,i,b,c,d,i,e,i,1.0
i,g,c,h,c,e,i,i,i,2.0
g,e,i,b,f,g,d,i,i,2.0
i,d,i,b,c,d,i,e,i,1.0
e,c,g,d,i,e,d,i,i,1.0
i,h,c,f,b,e,i,e,i,2.0
c,d,e,i,d,h,d,h,i,3.0
i,h,c,h,a,d,j,c,i,2.0
a,d,e,h,i,b,d,i,i,2.0
e,b,g,g,e,e,e,h,i,1.0
g,a,d,a,j,d,h,d,j,2.0
c,c,g,h,g,i,b,f,j,2.0
c,b,d,f,i,f,g,i,j,2.0
f,c,f,d,g,h,e,i,j,1.0
g,c,i,b,c,i,g,a,j,2.0
c,c,d,d,g,g,g,a,j,2.0
j,a,b,b,a,c,j,e,j,2.0
e,a,d,c,j,i,g,a,j,2.0
a,c,e,f,i,j,b,f,j,1.0
h,g,g,a,e,c,g,i,j,3.0
a,b,e,h,i,j,b,g,j,1.0
f,a,c,d,j,f,h,a,j,1.0
c,b,f,f,h,j,c,i,j,2.0
b,b,h,h,g,i,b,g,j,1.0
i,c,c,g,j,c,j,c,j,5.0
f,e,j,e,c,f,e,h,j,2.0
j,a,a,j,a,g,j,j,j,2.0
d,f,i,g,d,i,b,f,j,2.0
f,b,e,c,g,i,g,b,j,1.0
a,c,e,b,g,i,d,h,j,1.0
g,g,j,d,b,e,c,g,j,2.0
j,a,b,i,c,j,j,d,j,2.0
g,c,i,d,d,h,f,b,j,2.0
j,i,j,b,a,d,h,a,j,3.0
i,b,c,j,c,j,i,i,j,5.0
